id,lot_frontage,lot_area,neighborhood,overall_qual,year_built,year_remod_add,mas_vnr_area,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,saleprice,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing
1044,21.0,1680,0,6,1971,1971,232.0,3,3,1,5,387.0,3,4,483,504,987,0.0,1,1,3,4,0,1971.0,1,1.0,264.0,3,2,0,0,85400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2752,64.0,7488,3,7,2005,2005,0.0,4,3,3,6,393.0,5,4,1208,0,1208,0.0,2,0,4,6,0,2005.0,2,2.0,632.0,3,2,105,58,183600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
807,120.0,26400,2,5,1880,2007,0.0,0,0,0,0,0.0,5,4,1288,728,2016,0.0,1,0,3,7,1,1900.0,1,2.0,576.0,3,1,0,0,131000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177,24.0,2645,4,8,1999,2000,456.0,4,3,1,6,813.0,5,4,962,645,1607,1.0,2,1,4,7,0,2000.0,1,2.0,480.0,3,2,169,0,200000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,74.0,9627,3,7,2007,2007,0.0,4,3,3,6,24.0,5,4,1361,0,1361,0.0,2,0,4,6,0,2007.0,2,2.0,610.0,3,2,0,50,193000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
324,93.0,10114,2,5,2004,2005,0.0,5,3,3,1,0.0,5,4,1430,0,1430,0.0,2,0,4,7,0,2004.0,2,2.0,624.0,3,2,0,0,173500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1311,34.0,4571,0,5,1916,1950,0.0,3,3,1,1,0.0,2,4,624,720,1344,0.0,1,0,3,7,0,1916.0,1,3.0,513.0,2,2,0,0,98000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,80.0,8816,1,5,1963,1963,0.0,3,3,1,3,651.0,3,4,1121,0,1121,1.0,1,0,3,5,0,1963.0,1,2.0,480.0,3,2,0,80,139000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2063,71.0,8197,1,6,1977,1977,148.0,3,3,1,1,0.0,5,4,1285,0,1285,0.0,1,1,3,7,1,1977.0,2,2.0,528.0,3,2,138,0,143500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,72.0,8640,4,7,2009,2009,0.0,4,3,2,6,24.0,5,4,764,783,1547,0.0,2,1,4,7,0,2009.0,1,2.0,614.0,3,2,169,45,215200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2062,109.0,8724,1,5,1968,1968,0.0,4,3,1,4,492.0,4,4,894,0,894,0.0,1,0,3,5,1,1968.0,3,2.0,450.0,3,2,0,0,129000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
351,40.0,5664,4,8,2000,2000,0.0,4,3,1,6,1158.0,5,4,1659,0,1659,1.0,2,0,5,5,1,2000.0,3,2.0,499.0,3,2,212,59,278000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2393,103.0,12867,4,8,2005,2006,0.0,5,3,3,1,0.0,5,4,1209,1044,2253,0.0,2,1,5,8,1,2005.0,3,2.0,575.0,3,2,243,142,344133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,68.0,7980,2,6,1992,2007,0.0,4,3,1,5,935.0,5,4,1187,0,1187,1.0,2,0,3,6,0,1992.0,3,2.0,420.0,3,2,483,21,185000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,100.0,34650,2,5,1955,1955,0.0,3,3,2,3,1056.0,3,4,1056,0,1056,1.0,1,0,3,5,0,1955.0,3,2.0,572.0,3,2,264,0,145000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
624,92.0,10573,1,6,1961,1961,3.0,3,3,1,3,1312.0,5,4,1453,0,1453,1.0,2,0,3,6,1,1961.0,2,2.0,530.0,3,2,0,49,187500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,65.0,8450,1,5,1965,2009,0.0,3,3,1,6,553.0,5,4,894,0,894,1.0,1,0,3,5,1,1973.0,1,1.0,336.0,3,2,416,144,138500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1534,68.0,11700,3,5,1937,1995,0.0,3,3,1,4,606.0,5,4,1265,673,1938,0.0,2,0,4,7,1,1937.0,1,1.0,240.0,3,2,0,40,198000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2243,75.0,8250,0,5,1895,2006,0.0,3,3,1,1,0.0,2,4,1034,957,1991,0.0,2,0,3,9,0,0.0,0,0.0,0.0,0,0,0,0,119600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1957,60.0,8064,1,5,1949,2006,0.0,3,3,2,1,0.0,5,4,672,252,924,0.0,1,0,3,6,1,2003.0,1,2.0,576.0,3,2,0,0,122900,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
380,80.0,9600,2,8,1981,1981,0.0,4,3,1,5,1104.0,3,4,2524,0,2524,1.0,2,1,4,9,1,1981.0,3,2.0,542.0,3,2,474,120,278000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2860,68.0,11435,3,8,1929,1950,0.0,4,3,1,1,0.0,2,4,792,725,1517,0.0,1,0,4,7,2,1931.0,1,2.0,400.0,3,2,0,0,230000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2517,30.0,9549,4,8,1995,1996,0.0,4,4,3,2,437.0,5,4,1494,0,1494,1.0,1,1,5,6,1,1995.0,3,2.0,481.0,3,2,0,30,270000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1933,60.0,10950,1,6,1952,1952,0.0,3,3,1,5,441.0,3,4,948,0,948,0.0,1,0,3,5,0,1952.0,1,2.0,410.0,3,0,0,48,125000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
820,79.0,10637,3,8,2007,2008,336.0,5,3,4,6,1288.0,5,4,1718,0,1718,1.0,2,0,4,7,1,2007.0,2,3.0,826.0,3,2,208,44,297000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
675,80.0,9000,1,6,1958,1958,82.0,4,3,4,1,0.0,2,4,1142,0,1142,0.0,1,0,3,5,1,1958.0,2,1.0,384.0,3,2,0,28,113500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2910,41.0,2665,0,5,1977,1977,0.0,3,3,1,5,548.0,5,4,925,550,1475,0.0,2,0,3,6,1,1977.0,2,1.0,336.0,3,2,104,26,127000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,105.0,11751,2,6,1977,1977,480.0,4,3,1,4,705.0,5,4,1844,0,1844,0.0,2,0,3,7,1,1977.0,2,2.0,546.0,3,2,0,122,190000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1873,80.0,9600,2,7,1973,1973,320.0,3,3,1,5,916.0,2,4,1242,0,1242,0.0,1,1,3,6,1,1973.0,1,2.0,528.0,3,2,0,0,175500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,60.0,8428,3,5,1994,1994,0.0,4,4,1,6,420.0,5,4,990,0,990,1.0,1,0,3,5,0,1995.0,1,1.0,384.0,3,2,256,0,146000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1489,75.0,9937,0,5,1965,1965,0.0,3,3,1,4,830.0,4,4,1256,0,1256,1.0,1,1,3,6,0,1965.0,3,1.0,276.0,3,2,736,68,147500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2383,107.0,13891,4,10,2006,2006,0.0,5,4,4,6,1386.0,5,4,2076,0,2076,1.0,2,1,5,7,1,2006.0,3,3.0,850.0,3,2,216,229,465000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
983,68.0,9101,2,5,1978,1978,104.0,4,3,3,6,1097.0,5,4,1110,0,1110,1.0,1,0,4,4,1,1978.0,3,2.0,602.0,3,2,303,30,165500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1325,81.0,12150,0,5,1954,1954,335.0,3,3,1,1,0.0,5,2,1050,745,1795,0.0,2,0,3,7,0,1954.0,1,1.0,352.0,3,2,0,0,131500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1378,70.0,11200,1,5,1965,1965,0.0,3,3,1,3,906.0,5,4,1040,0,1040,1.0,1,0,3,5,0,1965.0,1,1.0,384.0,3,2,0,0,129500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1537,100.0,9670,3,8,1935,1950,40.0,3,2,1,2,210.0,3,4,983,890,1873,0.0,1,1,3,9,2,1935.0,3,2.0,786.0,3,2,0,0,257076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
905,60.0,10998,0,5,1941,1960,0.0,3,3,1,2,408.0,5,4,984,620,1604,0.0,2,0,3,6,0,1977.0,1,2.0,660.0,3,2,0,68,117000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1532,60.0,7200,3,7,1931,2000,0.0,4,3,1,1,0.0,3,4,851,651,1502,0.0,1,1,3,6,1,1931.0,2,1.0,270.0,3,1,0,0,149000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
132,80.0,9920,1,5,1954,1954,110.0,3,3,1,3,354.0,3,4,1063,0,1063,1.0,1,0,3,6,0,1954.0,2,1.0,280.0,3,2,0,0,128000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,36.0,2448,4,7,2003,2004,106.0,4,3,1,1,0.0,5,4,764,862,1626,0.0,2,1,4,6,0,2003.0,2,2.0,474.0,3,2,0,27,155000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2511,68.0,2998,4,6,2000,2000,513.0,4,3,1,6,353.0,5,4,768,756,1524,0.0,2,1,4,4,0,2000.0,1,2.0,440.0,3,2,0,32,166000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
912,65.0,7804,1,4,1928,1950,0.0,3,3,1,4,622.0,3,4,1328,653,1981,1.0,2,0,4,7,2,1981.0,1,2.0,576.0,3,2,431,44,135000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2351,80.0,16692,2,7,1978,1978,184.0,4,3,1,4,790.0,3,4,1392,1392,2784,1.0,3,1,4,12,2,1978.0,2,2.0,564.0,3,2,0,112,250000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
330,21.0,1476,0,4,1970,1970,0.0,3,3,1,6,176.0,5,4,546,546,1092,0.0,1,1,3,5,0,0.0,0,0.0,0.0,0,2,200,26,76000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2586,75.0,10170,1,6,1951,1951,522.0,3,3,1,1,0.0,3,4,1575,0,1575,0.0,1,1,4,5,1,1951.0,1,2.0,400.0,3,2,0,0,155000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224,80.0,9364,1,6,1969,1969,143.0,3,3,1,5,371.0,3,4,663,689,1352,0.0,1,1,3,7,0,1969.0,3,1.0,299.0,3,2,379,36,158000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,24.0,2544,4,7,2004,2005,0.0,4,3,1,6,368.0,5,4,600,600,1200,1.0,2,1,4,4,0,2004.0,2,2.0,480.0,3,2,0,172,149500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2565,82.0,9888,1,5,1954,1975,0.0,3,3,1,4,486.0,3,3,936,0,936,0.0,1,0,3,5,0,1954.0,1,1.0,240.0,3,2,0,0,121000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1934,68.0,7942,1,6,1953,1953,0.0,3,3,1,3,85.0,3,2,1040,0,1040,0.0,1,0,3,6,0,1953.0,3,1.0,293.0,3,2,0,0,136000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
997,68.0,15038,2,6,1996,1996,0.0,4,3,1,3,138.0,4,4,916,720,1636,0.0,2,1,3,7,1,1996.0,3,2.0,386.0,3,2,168,84,173000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
